Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,
Blood-C,2011,18+,6.3,,0,1,0,0,1,
Upper Middle Bogan,2013,16+,7.9,,0,1,0,0,1,
"Nicky, Ricky, Dicky & Dawn",2014,all,5.1,,0,1,0,0,1,
The New Woody Woodpecker Show,1999,all,6.5,,0,1,0,0,1,
What Would You Do?,2008,7+,7.2,,0,1,0,0,1,
Getting On,2009,16+,8.1,,0,1,0,0,1,
The Lucy Show,1962,7+,7.2,,0,1,0,0,1,
Big Windup!,2007,7+,7.6,,0,1,0,0,1,
Love & Hip Hop Hollywood,2014,16+,5.2,,0,1,0,0,1,
VanDread,2000,16+,7.1,,0,1,0,0,1,
The Weekly,2019,18+,6.5,38%,0,1,0,0,1,
Princess Tutu,2002,16+,8.1,,0,1,1,0,1,
Plunderer,2020,16+,6.2,,0,1,0,0,1,
James May's Man Lab,2010,,7.8,,0,1,1,0,1,
Bedlam,2011,,6.6,44%,0,1,0,0,1,
Second chance,2005,7+,6.9,,0,1,0,0,1,
Born This Way,2015,7+,8.3,,0,1,0,0,1,
Criminal Justice,2008,,7.8,,0,1,0,0,1,
F*ck That's Delicious,2016,18+,8,,0,1,0,0,1,
Unikitty,2017,7+,5.7,,0,1,0,0,1,
Abandoned,2016,16+,8.4,,0,1,0,0,1,
I Am Frankie,2017,all,6.1,,0,1,0,0,1,
Fashion House,2006,18+,6.5,,0,1,0,0,1,
Kids Baking Championship,2015,all,7,,0,1,0,0,1,
Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,2019,,7.4,,0,1,0,0,1,
Bizarre Foods with Andrew Zimmern,2006,7+,7.8,,0,1,0,0,1,
Young Hercules,1998,7+,5.8,,0,1,0,0,1,
Little Big Shots,2016,all,7.2,,0,1,0,0,1,
Unusual Suspects,2010,16+,7.6,,0,1,0,0,1,
Bless the Harts,2019,16+,4.9,82%,0,1,0,0,1,
Jimmy Kimmel Live!,2003,16+,6.6,,0,1,0,0,1,
The Little Couple,2009,all,6.8,,0,1,0,0,1,
The Beautiful Lie,2015,,7.3,,0,1,0,0,1,
Extreme Ghostbusters,1997,7+,6.9,,0,1,0,0,1,
Marriage Boot Camp: Reality Stars,2014,16+,4.5,,0,1,0,0,1,
Cold Squad,1998,16+,6.9,,0,1,1,0,1,
Space Brothers,2012,16+,8.1,,0,1,0,0,1,
The Real Housewives of Orange County,2006,16+,4.1,,0,1,0,0,1,
Corpse Princess,2008,7+,6.9,,0,1,0,0,1,
Genius Junior,2018,all,7.5,,0,1,0,0,1,
Astra Lost in Space,2019,16+,8,,0,1,0,0,1,
The Dick Cavett Show,1968,,8.4,,0,1,0,0,1,
Obsession: Dark Desires,2014,16+,7.4,,0,1,0,0,1,
Hakuoki -Demon Of The Fleeting Blossom-,2010,18+,7.4,,0,1,0,0,1,
Webster,1983,all,5.7,,0,1,0,0,1,
Ellen's Game of Games,2017,7+,5.6,,0,1,0,0,1,
Diesel Brothers,2016,16+,6.6,,0,1,0,0,1,
Feed the Beast,2016,16+,6.7,23%,0,1,0,0,1,
Handy Manny,2006,all,5.5,,0,1,0,1,1,
Amagi Brilliant Park,2014,16+,7,,0,1,0,0,1,
Coupling,2000,7+,3.6,,0,1,0,0,1,
Treehouse Masters,2013,7+,7.3,,0,1,0,0,1,
My Favorite Martian,1963,all,7.3,,0,1,0,0,1,
The Strange Calls,2012,18+,7.4,,0,1,0,0,1,
Are You Smarter Than a 5th Grader?,2007,7+,4.9,,0,1,0,0,1,
Taken at Birth,2019,,8.3,,0,1,0,0,1,
Monster Rancher,1999,7+,7.1,,0,1,1,0,1,
Blue Dragon,2007,,6.3,,0,1,0,0,1,
The Bisexual,2018,,6,92%,0,1,0,0,1,
Yu-Gi-Oh! 5D's,2008,all,6.7,,0,1,1,0,1,
Alvinnn!!! and The Chipmunks,2015,7+,4.5,,0,1,0,0,1,
Little Women: Atlanta,2016,16+,5.1,,0,1,0,0,1,
Beat Bobby Flay,2014,all,6.3,,0,1,0,0,1,
Saints & Sinners,2016,16+,7.3,,0,1,0,0,1,
Ask This Old House,2002,all,7.6,,0,1,0,0,1,
The Dude Perfect Show,2016,7+,6.6,,0,1,0,0,1,
頭文字D First Stage,1998,7+,8.4,,0,1,0,0,1,
Bong Appétit,2016,16+,8,,0,1,0,0,1,
Arliss,1996,,7,,0,1,0,0,1,
Watch Over Me,2006,16+,6.4,,0,1,0,0,1,
Rosa Diamante,2012,,8.3,,0,1,0,0,1,
Seed,2013,18+,5.6,67%,0,1,0,0,1,
Black Blood Brothers,2006,16+,7.1,,0,1,0,0,1,
Heartstrings,2011,16+,7.2,,0,1,0,0,1,
The Impostor,2014,,7.8,,0,1,0,0,1,
Tiger & Bunny,2011,16+,7.4,,0,1,0,0,1,
Behind Bars: Rookie Year,2015,16+,7.7,,0,1,0,0,1,
The Wall,2016,7+,6,,0,1,0,0,1,
Worth It,2016,,8.6,,0,1,1,0,1,
Flip or Flop,2013,all,6.1,,0,1,0,0,1,
L.A. Dragnet,2003,,7.1,,0,1,0,0,1,
Insane Pools: Off the Deep End,2015,7+,7.2,,0,1,0,0,1,
Sin tetas no hay paraíso,2008,18+,5.6,,0,1,0,0,1,
Aria the Scarlet Ammo,2011,16+,6.8,,0,1,0,0,1,
The Last Defense,2018,,7.3,,0,1,0,0,1,
The Gumby Show,1955,all,7,,0,1,1,0,1,
Still 17,2018,,7.8,,0,1,0,0,1,
Witchblade,2006,18+,7.2,,0,1,0,0,1,
Madeline,1993,all,6.9,,0,1,1,0,1,
Ruyi's Royal Love in the Palace,2018,,7.6,,0,1,1,0,1,
The Romeo Section,2015,16+,6.9,,0,1,0,0,1,
The Wallflower,2006,16+,7.5,,0,1,0,0,1,
Little Mosque on the Prairie,2007,7+,5.6,,0,1,0,0,1,
Curiosity,2011,16+,7.8,,0,1,1,0,1,
Who Wants to Be a Millionaire,2020,16+,6.1,,0,1,0,0,1,
Anyone But Me,2009,16+,7.1,,0,1,1,0,1,
Life and Death Row,2014,,8.3,,0,1,0,0,1,
Matador,2014,16+,5.7,67%,0,1,0,0,1,
Threesome,2011,18+,7.6,,0,1,0,0,1,
Kung Fu Panda: Legends of Awesomeness,2011,7+,6.1,,0,1,0,0,1,
Undefeated Bahamut Chronicle,2016,,6.5,,0,1,0,0,1,
Conviction,2006,16+,7,,0,1,0,0,1,
High School USA!,2013,18+,6.4,44%,0,1,0,0,1,
Cults and Extreme Belief,2018,16+,7.7,,0,1,0,0,1,
NASA's Unexplained Files,2012,all,6.7,,0,1,0,0,1,
Sister Wives,2010,16+,4.3,,0,1,0,0,1,
Hunderby,2012,16+,7.4,,0,1,0,0,1,
Australia's Next Top Model,2005,,6,,0,1,0,0,1,
Nanny and the Professor,1970,,7.1,,0,1,0,0,1,
I Am Jazz,2015,7+,4.1,,0,1,0,0,1,
Below the Surface,2017,,7.2,,0,1,0,0,1,
"Rica, Famosa, Latina",2014,,5.5,,0,1,0,0,1,
StarTalk with Neil deGrasse Tyson,2015,all,7.8,,0,1,1,0,1,
Total Wipeout,2009,,6,,0,1,1,0,1,
Breaking Amish,2012,,5,,0,1,0,0,1,
Flying Witch,2016,all,7.2,,0,1,0,0,1,
Flea Market Flip,2012,all,6.6,,0,1,0,0,1,
No Activity,2015,18+,7.9,,0,1,0,0,1,
I Spy,1965,,7.1,,0,1,0,0,1,
You Bet Your Life,1947,,8.4,,0,1,0,0,1,
The First 48 Presents: Homicide Squad Atlanta,2019,16+,8.5,,0,1,1,0,1,
The Hotwives of Orlando,2014,16+,7.4,85%,0,1,0,0,1,
Bleak House,1985,,7.4,,0,1,1,0,1,
T.U.F.F. Puppy,2010,7+,5.6,,0,1,0,0,1,
Sherman's Showcase,2019,18+,5.4,100%,0,1,0,0,1,
Wild Things with Dominic Monaghan,2013,16+,8.4,,0,1,0,0,1,
The Gong Show,1976,7+,7,,0,1,0,0,1,
The Murder of Laci Peterson,2017,16+,7.4,,0,1,0,0,1,
Casey Anthony: An American Murder Mystery,2017,16+,7.2,,0,1,0,0,1,
Sherlock Holmes,1954,,7.7,,0,1,0,0,1,
Cake,2019,18+,6,,0,1,0,0,1,
Murder in the Heartland,2017,16+,7.8,,0,1,0,0,1,
My Strange Addiction,2010,16+,5.7,,0,1,0,0,1,
Food Network Star,2005,7+,6.3,,0,1,0,0,1,
Boy Band,2017,,5.2,,0,1,0,0,1,
Dream Corp LLC,2016,16+,7.1,,0,1,0,0,1,
Astroblast!,2014,all,6.7,,0,1,0,0,1,
Here's Lucy,1968,all,6.9,,0,1,1,0,1,
1969,2019,,6.9,,0,1,0,0,1,
Celia,2015,,8.2,,0,1,0,0,1,
Too Cute,2011,7+,8.5,,0,1,0,0,1,
Holiday Baking Championship,2014,all,7.5,,0,1,0,0,1,
Senryu Girl,2019,7+,7,,0,1,0,0,1,
Flirty Dancing,2019,7+,6.6,100%,0,1,0,0,1,
Hidden Potential,2018,7+,7.3,,0,1,0,0,1,
Our Cartoon President,2018,18+,5.1,,0,1,0,0,1,
Cupcake Wars,2010,all,5.8,,0,1,0,0,1,
Brothers Conflict,2013,16+,6.1,,0,1,0,0,1,
Dancing with the Stars,2005,7+,4.4,,0,1,0,0,1,
Lucas Bros Moving Co,2013,18+,7,,0,1,0,0,1,
Harvey Beaks,2015,7+,7,,0,1,0,0,1,
The Aliens,2016,,6,,0,1,0,0,1,
Who The (Bleep) Did I Marry?,2010,7+,6.6,,0,1,0,0,1,
Brave 10,2012,7+,6.6,,0,1,0,0,1,
Mischief of the Gods,2014,16+,7.2,,0,1,0,0,1,
Beautiful Bones: Sakurako’s Investigation,2015,18+,6.9,,0,1,0,0,1,
Nightmare Next Door,2011,16+,7.1,,0,1,0,0,1,
Food Paradise,2007,all,8,,0,1,0,0,1,
The Tesla Files,2018,,7.3,,0,1,1,0,1,
The Librarians,2007,,6.9,,0,1,0,0,1,
The Ambition of Oda Nobuna,2012,16+,6.5,,0,1,0,0,1,
Dagashi Kashi,2016,16+,6.2,,0,1,0,0,1,
Blade Dance of Elementalers,2014,16+,6.7,,0,1,0,0,1,
Caillou,1998,all,4.1,,0,1,1,0,1,
Caribbean Life,2014,all,6.7,,0,1,0,0,1,
Jodi Arias: An American Murder Mystery,2018,,7,,0,1,0,0,1,
Indebted,2020,16+,4.3,25%,0,1,0,0,1,
Long Island Medium,2011,7+,4.8,,0,1,0,0,1,
Kino's Journey: The Beautiful World - The Animated Series,2017,18+,7.1,,0,1,0,0,1,
Broken Angel,2013,7+,7.1,,0,1,0,0,1,
Cockroaches,2015,,6.2,,0,1,0,0,1,
Victoria's Secret Fashion Show,1999,18+,8.2,,0,1,0,0,1,
Tiny House Hunters,2014,all,6.1,,0,1,0,0,1,
Jeopardy! The Greatest of All Time,2020,7+,8.6,,0,1,0,0,1,
Saved by the Bell: The College Years,1993,7+,6.3,9%,0,1,0,0,1,
Law & Order True Crime,2017,16+,7.4,,0,1,0,0,1,
Aoharu x Machinegun,2015,16+,6.6,,0,1,0,0,1,
Miz & Mrs,2018,16+,6.3,,0,1,0,0,1,
Your Worst Nightmare,2014,16+,7,,0,1,0,0,1,
Outbreak Company,2013,16+,7,,0,1,0,0,1,
Psychic Detective Yakumo,2010,16+,6.7,,0,1,0,0,1,
Mythbusters Jr.,2019,7+,6.8,,0,1,0,0,1,
The Real Housewives of Potomac,2016,16+,4.3,,0,1,0,0,1,
The Hunt with John Walsh,2014,16+,7.5,,0,1,0,0,1,
House Hunters Renovation,2012,all,6.4,,0,1,0,0,1,
"Neon Joe, Werewolf Hunter",2015,16+,7.2,,0,1,0,0,1,
Filthy Rich,2016,,7.2,,0,1,0,0,1,
Sanjay and Craig,2013,7+,4.4,,0,1,0,0,1,
I Love New York,2007,16+,4.5,,0,1,0,0,1,
Nabari no Ou,2008,16+,6.5,,0,1,0,0,1,
Mr. D,2012,,6.5,,0,1,0,0,1,
恋と選挙とチョコレート,2012,18+,7.2,,0,1,0,0,1,
School of Rock,2016,all,4.3,,0,1,0,0,1,
Living With Fran,2005,,5.8,,0,1,0,0,1,
The Loop,2006,16+,7.4,,0,1,0,0,1,
Uta no Prince-sama,2011,,6.5,,0,1,0,0,1,
WITS Academy,2015,all,5.7,,0,1,0,0,1,
The Munsters Today,1988,,5.3,,0,1,0,0,1,
Holly Hobbie,2018,7+,6.4,,0,1,0,0,1,
I Am Cait,2015,16+,3.5,86%,0,1,0,0,1,
Basketball Wives LA,2011,7+,4.2,,0,1,0,0,1,
The New Detectives,1996,7+,7.6,,0,1,0,0,1,
Cash Cab,2008,,7.3,,0,1,0,0,1,
Marrying Millions,2019,,5.7,,0,1,0,0,1,
To Tell the Truth,2016,,6.4,,0,1,0,0,1,
Property Virgins,2007,all,6.9,,0,1,0,0,1,
Negima!,2005,7+,6.1,,0,1,0,0,1,
Match Game,1973,16+,6,,0,1,1,0,1,
Gap Year,2017,,7,,0,1,0,0,1,
Love Connection,2017,,,,0,1,0,0,1,
Wasted,2016,,7.4,,0,1,0,0,1,
The Other Guy,2017,18+,6.8,,0,1,0,0,1,
Snake City,2014,,8.6,,0,1,0,0,1,
Make It Pop,2015,all,4.9,,0,1,0,0,1,
Next Great Baker,2010,16+,5.9,,0,1,0,0,1,
A Little Late with Lilly Singh,2019,16+,1.7,90%,0,1,0,0,1,
Card Captor Sakura: Clear Card,2018,,7.9,,0,1,0,0,1,
I Love Jenni,2011,7+,8.1,,0,1,0,0,1,
Sex Sent Me to the ER,2013,18+,5.4,,0,1,1,0,1,
Shark Week,1987,16+,8.1,,0,1,0,0,1,
Tenchi Muyô! GXP,2002,7+,7.1,,0,1,0,0,1,
Man Up!,2011,7+,6.6,21%,0,1,0,0,1,
My Dead Ex,2018,,7.1,,0,1,0,0,1,
Juana la virgen,2002,,5.9,,0,1,0,0,1,
"Ready, Steady, Wiggle!",2013,all,8.4,,0,1,0,0,1,
"The $100,000 Pyramid",2016,16+,6.2,,0,1,0,0,1,
Gordon Ramsay's Home Cooking,2013,,8.5,,0,1,0,0,1,
Napoleon Dynamite,2012,7+,6.4,25%,0,1,0,0,1,
Kaleido Star,2003,16+,7.7,,0,1,0,0,1,
Soul Eater Not!,2014,16+,5.7,,0,1,0,0,1,
Part of Me,2014,16+,8.6,,0,1,0,0,1,
Samurai Harem,2009,18+,5.9,,0,1,0,0,1,
Tarzán,1991,,6,,0,1,0,0,1,
Blade and Soul,2014,18+,6,,0,1,0,0,1,
Late Night with Seth Meyers,2014,16+,6.1,,0,1,0,0,1,
Paradise Run,2016,all,6,,0,1,0,0,1,
Rock of Love with Bret Michaels,2007,18+,4.8,,0,1,0,0,1,
Siblings,2014,,7.1,,0,1,0,0,1,
Safe Harbor,1999,,7.3,83%,0,1,0,0,1,
Destiny,2014,,9.6,,0,1,0,0,1,
Alguien Te Mira,2010,7+,7.4,,0,1,0,0,1,
The Millionaire Matchmaker,2008,7+,4.6,,0,1,0,0,1,
Gugure! Kokkuri-san,2014,,7.4,,0,1,0,0,1,
Scorned: Love Kills,2012,16+,6.8,,0,1,1,0,1,
Sunnyside,2019,,4.9,38%,0,1,0,0,1,
Bloque de Búsqueda,2016,,7.8,,0,1,0,0,1,
"Pinky, Elmyra & the Brain",1998,,5.8,,0,1,0,0,1,
Britain's Best Home Cook,2018,,7.8,,0,1,0,0,1,
Aquarion,2005,18+,6.6,,0,1,0,0,1,
Til Death Do Us Part,2019,,6.6,,0,1,0,0,1,
Children of the Snow,2019,16+,7.3,,0,1,0,0,1,
Major Lazer,2015,18+,7.5,,0,1,0,0,1,
The Adventures of Paddington Bear,1997,all,7.1,,0,1,0,0,1,
Miles from Tomorrowland,2015,all,6.7,,0,1,0,0,1,
The Killer Speaks,2013,16+,7.4,,0,1,0,0,1,
Flavor of Love,2006,16+,4.5,,0,1,0,0,1,
The Tower of Druaga: The Aegis of Uruk,2008,7+,6.8,,0,1,0,0,1,
Fresh Off the Boat,2012,16+,7.9,,0,1,0,0,1,
Basilisk,2005,18+,4.6,,0,1,0,0,1,
Stars Align,2019,16+,7,,0,1,0,0,1,
American Gladiators,2008,,5.6,,0,1,0,0,1,
Bridezillas,2004,16+,3.9,,0,1,0,0,1,
The Chew,2011,7+,5.2,,0,1,0,0,1,
The History of Comedy,2017,18+,7.8,,0,1,0,0,1,
Metástasis,2014,16+,2.5,,0,1,0,0,1,
The Awesomes,2013,16+,7.3,,0,1,0,0,1,
Cake Wars,2015,all,6.1,,0,1,0,0,1,
Sheriff Callie's Wild West,2013,all,6.4,,0,1,0,1,1,
Nutri Ventures – The Quest for the 7 Kingdoms,2013,all,7.3,,0,1,0,0,1,
Endlings,2020,,4.1,,0,1,0,0,1,
The Riveras,2016,7+,6.9,,0,1,0,0,1,
Beat Shazam,2017,16+,6.1,,0,1,0,0,1,
Wicked Tuna: Outer Banks,2014,16+,6.5,,0,1,0,0,1,
Fugget About It,2012,18+,5.8,,0,1,0,0,1,
Side Effects,2013,,7.4,,0,1,0,0,1,
Property Brothers: Buying and Selling,2012,all,7.1,,0,1,0,0,1,
The High Fructose Adventures of Annoying Orange,2012,7+,2,,0,1,1,0,1,
.hack,2002,7+,6.9,18%,0,1,0,0,1,
Toopy and Binoo,2005,all,6.8,,0,1,0,0,1,
Guidance,2015,7+,5.7,,0,1,0,0,1,
The Menendez Murders: Erik Tells All,2017,,7.5,,0,1,0,0,1,
Chopped Junior,2015,,6.6,,0,1,0,0,1,
Max Steel,2000,7+,6.2,,0,1,0,0,1,
"Demon Lord, Retry!",2019,16+,6.6,,0,1,0,0,1,
Tarzan: The Epic Adventures,1996,,6.6,,0,1,0,0,1,
Stacked,2005,7+,6,,0,1,0,0,1,
The Cisco Kid,1950,,7.3,,0,1,0,0,1,
Special A,2008,16+,7.3,,0,1,1,0,1,
Beachfront Bargain Hunt,2013,all,6.7,,0,1,0,0,1,
60 Days In: Narcoland,2019,16+,5.1,,0,1,0,0,1,
Uncle Grandpa,2013,7+,4.2,,0,1,0,0,1,
David Copperfield,1966,all,7.3,,0,1,1,0,1,
Azur Lane,2019,16+,5.7,,0,1,0,0,1,
Crimes of the Century,2013,,7.2,,0,1,0,0,1,
The Kennedys,2015,7+,7.2,,0,1,0,0,1,
Kids Behind Bars: Life or Parole,2019,,6.8,,0,1,1,0,1,
Spartan: Ultimate Team Challenge,2016,7+,5.7,,0,1,0,0,1,
VICE Investigates,2019,18+,6.2,,0,1,0,0,1,
Swiss Family Robinson,1974,7+,7,,0,1,1,0,1,
Hayate the Combat Butler,2007,,6.9,,0,1,0,0,1,
Four Weddings,2009,7+,5.4,,0,1,0,0,1,
Special 7: Special Crime Investigation Unit,2019,,6.3,,0,1,0,0,1,
Extreme Homes,2012,all,7,,0,1,0,0,1,
El Mariachi,2014,,8,,0,1,0,0,1,
What on Earth?,2015,7+,5.8,,0,1,0,0,1,
The Real Housewives of Miami,2011,16+,2.9,,0,1,0,0,1,
Fujiko,2015,,9,,0,1,0,0,1,
Hakumei and Mikochi,2018,16+,7.3,,0,1,0,0,1,
Coppelion,2013,16+,6.1,,0,1,0,0,1,
Flavor of Love Girls: Charm School,2007,,5.8,,0,1,0,0,1,
WWE Main Event,2012,7+,6.5,,0,1,0,0,1,
Hello Kitty's Furry Tale Theater,1987,all,6.2,,0,1,0,0,1,
"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job.",2013,18+,6.4,,0,1,0,0,1,
Dead Boss,2012,,6.6,,0,1,0,0,1,
Sydney Sailboat,2015,,7.9,,0,1,0,0,1,
Veni Vidi Vici,2017,18+,5.9,,0,1,0,0,1,
Dies Irae,2017,18+,5.4,,0,1,0,0,1,
1990s: The Deadliest Decade,2018,16+,7.9,,0,1,0,0,1,
Afterlost,2019,,5.5,,0,1,0,0,1,
Survival School,2008,,7,,0,1,0,0,1,
Toddlers & Tiaras,2009,7+,1.8,,0,1,1,0,1,
The Golden State Killer: It's Not Over,2018,16+,6.9,,0,1,0,0,1,
"Golan, The Insatiable",2013,16+,6.8,,0,1,0,0,1,
Kidô senshi Gandamu: The Origin I - Aoi hitomi no kyasubaru,2015,,7.5,,0,1,0,0,1,
Divorce Court,1999,,4.1,,0,1,0,0,1,
Hitler's Last Stand,2018,16+,,,0,1,0,0,1,
Mental Samurai,2019,7+,6.1,,0,1,0,0,1,
Chio's School Road,2018,,7.3,,0,1,0,0,1,
The Furchester Hotel,2014,all,6.8,,0,1,0,0,1,
Stone Quackers,2014,,6.7,,0,1,0,0,1,
Garo: The Animation,2014,all,6.7,,0,1,0,0,1,
Mrs. Piggle-Wiggle,1994,all,6.7,,0,1,0,0,1,
Pinky Dinky Doo,2006,all,6.3,,0,1,0,0,1,
Sea Rescue,2012,all,8.8,,0,1,1,0,1,
Nightcap,2016,7+,4.9,,0,1,0,0,1,
Abandoned,2012,,,,0,1,0,0,1,
Spoilers,2012,,6.8,,0,1,0,0,1,
Henry Hugglemonster,2013,all,5.2,,0,1,0,1,1,
Love Thy Neighbor,2013,7+,4.2,,0,1,0,0,1,
Love Daily,2018,,6.7,,0,1,0,0,1,
Mighty Magiswords,2015,7+,4.9,,0,1,0,0,1,
Hang Ups,2018,,6.3,,0,1,0,0,1,
Urara Meirocho,2017,16+,7.3,,0,1,0,0,1,
Mad Mad House,2004,,7.2,,0,1,0,0,1,
"Ruff-Ruff, Tweet and Dave",2015,all,7.6,,0,1,0,0,1,
Inside the NFL,1977,7+,6.9,,0,1,0,0,1,
Girls Beyond the Wasteland,2016,,5.2,,0,1,0,0,1,
Biography: The Trump Dynasty,2019,16+,6.9,,0,1,0,0,1,
Special Forces,2012,,9,,0,1,0,0,1,
Forged in Fire: Knife or Death,2018,,6.1,,0,1,0,0,1,
All Night,2018,,5.6,,0,1,0,0,1,
The Return,2013,16+,7.3,,0,1,0,0,1,
Bajo el Mismo Cielo,2015,16+,7.9,,0,1,0,0,1,
Chandra Levy: An American Murder Mystery,2017,16+,6.3,,0,1,0,0,1,
NY-LON,2004,18+,7.5,,0,1,0,0,1,
Dama y Obrero,2013,,7.7,,0,1,0,0,1,
Infinite Dendrogram,2020,16+,6.5,,0,1,0,0,1,
Sorcerous Stabber Orphen,2020,16+,6.5,,0,1,0,0,1,
Behind the Mask,2013,,7.2,,0,1,0,0,1,
Breadwinners,2005,7+,2.4,,0,1,0,0,1,
My Super Sweet 16,2005,7+,1.8,,0,1,0,0,1,
The Proposal,2018,,1.8,,0,1,0,0,1,
To Catch a Smuggler,2012,7+,6.8,,0,1,0,0,1,
Pamela Smart: An American Murder Mystery,2018,16+,6.6,,0,1,0,0,1,
Murder on the Internet,2017,,7.2,,0,1,1,0,1,
Zou,2012,,7.1,,0,1,0,0,1,
Get Ace,2014,all,8.3,,0,1,0,0,1,
Barefoot Contessa: Back to Basics,2002,all,7.4,,0,1,0,0,1,
How The Earth Works,2013,,7.2,,0,1,0,0,1,
BEM,2019,,5.9,,0,1,0,0,1,
Dead By Dawn,2019,,7,,0,1,0,0,1,
The Case That Haunts Me,2018,16+,7.5,,0,1,0,0,1,
Kojak,2005,,5.4,33%,0,1,0,0,1,
Jamie's Quick & Easy Food,2017,,8.4,,0,1,0,0,1,
Meet the Press,1947,all,5.5,,0,1,0,0,1,
Cruel Love,2010,7+,6.6,,0,1,0,0,1,
Gigantor,1963,7+,6.9,,0,1,0,0,1,
The Boonies,2016,,7,,0,1,0,0,1,
Charlie Rose,1991,all,7.5,,0,1,0,0,1,
Mickey's 90th Spectacular,2018,7+,7,,0,1,0,0,1,
"Wiggle, Wiggle, Wiggle",2018,all,6.2,,0,1,0,0,1,
Wives with Knives,2012,16+,6.6,,0,1,0,0,1,
Big Block SingSong,2012,all,,,0,1,0,0,1,
Dreamland,2014,,4.7,,0,1,0,0,1,
Kendra on Top,2012,7+,3.8,,0,1,0,0,1,
Beach Hunters,2016,,4.6,,0,1,0,0,1,
The Powerpuff Girls,2016,7+,3.6,,0,1,0,0,1,
Home Free,2015,all,7,,0,1,0,0,1,
The Dating Guy,2009,18+,3.4,,0,1,0,0,1,
Mix: Meisei Story,2019,7+,7.3,,0,1,0,0,1,
Daisy of Love,2009,16+,4.5,,0,1,0,0,1,
After School Dice Club,2019,16+,6.5,,0,1,0,0,1,
The Young Turks,2005,16+,5.5,,0,1,1,0,1,
Hungry Henry,2014,,9.5,,0,1,0,0,1,
A3! Season Spring & Summer,2020,16+,5.6,,0,1,0,0,1,
The Interrogation Room,2018,16+,7.7,,0,1,0,0,1,
Planet Sheen,2010,7+,3,,0,1,0,0,1,
Good Morning America,1975,all,4.6,,0,1,0,0,1,
What Just Happened??! with Fred Savage,2019,16+,4.2,67%,0,1,0,0,1,
ABC World News,1978,,5.8,,0,1,0,0,1,
Twisted Sisters,2018,16+,6.4,,0,1,0,0,1,
Phenoms,2018,7+,7.3,,0,1,0,0,1,
The Last Days of Phil Hartman,2019,,7.8,,0,1,0,0,1,
ClassicaLoid,2016,16+,6.4,,0,1,0,0,1,
Runaways,2012,16+,7.8,,0,1,0,0,1,
Many Sides of Jane,2019,,5.6,,0,1,0,0,1,
Cooks vs. Cons,2016,7+,5.2,,0,1,0,0,1,
Smile at the Runway,2020,16+,7,,0,1,0,0,1,
Gensomaden Saiyuki,2000,16+,7.4,,0,1,0,0,1,
Black Market: Dispatches,2016,18+,7.8,,0,1,0,0,1,
WTF Baron Davis,2019,18+,7.5,,0,1,0,0,1,
Container Homes,2016,,6.5,,0,1,0,0,1,
Kourtney & Khloé Take the Hamptons,2014,16+,3.6,,0,1,0,0,1,
Holiday Magic,2017,,7,,0,1,0,1,1,
Truth & Iliza,2017,7+,5.3,,0,1,0,0,1,
Blood Runs Cold,2018,16+,7.3,,0,1,0,0,1,
Place to Place,2012,7+,6.6,,0,1,0,0,1,
To LOVEる -とらぶる- ダークネス2nd,2012,16+,7.1,,0,1,0,0,1,
L.A. Hair,2012,16+,6.2,,0,1,0,0,1,
My Knight and Me,2016,all,4.4,,0,1,0,0,1,
205 Live,2016,7+,7.1,,0,1,0,0,1,
Steve Harvey's Funderdome,2017,7+,7,,0,1,0,0,1,
Nightwatch Nation,2018,16+,,,0,1,0,0,1,
Nightline,1980,7+,5.6,,0,1,0,0,1,
Life of Kylie,2017,16+,3.5,,0,1,0,0,1,
Showtime at the Apollo,1987,,5.5,,0,1,0,0,1,
Mother Up!,2013,16+,4.5,,0,1,0,0,1,
Nostradamus Effect,2009,,5.1,,0,1,0,0,1,
American Scandals,2015,,8.4,,0,1,0,0,1,
Eva La Trailera,2017,16+,7.2,,0,1,0,0,1,
Jim Henson Presents Mother Goose Stories,1990,all,7.8,,0,1,0,0,1,
American Greed: The Fugitives,2012,,8,,0,1,0,0,1,
Man Finds Food,2015,7+,7.4,,0,1,0,0,1,
Ancient Top 10,2016,16+,7.7,,0,1,0,0,1,
The Great Christmas Light Fight,2013,all,6.3,,0,1,0,0,1,
Kids Say the Darndest Things,2019,7+,3.1,,0,1,0,0,1,
The Show Must Go On: The Queen + Adam Lambert Story,2019,,8.5,,0,1,0,0,1,
Alien Encounters,2012,7+,6.2,,0,1,0,0,1,
Close Up with The Hollywood Reporter,2015,16+,6.9,,0,1,0,0,1,
Ellen's Greatest Night of Giveaways,2019,7+,6.3,,0,1,0,0,1,
Open Door,2019,,6,,0,1,0,0,1,
Star Wars Galaxy's Edge: Adventure Awaits,2019,,6.3,,0,1,0,0,1,
Larry King Now,2013,,5.6,,0,1,0,0,1,
Bloomberg Game Changers,2010,,7.8,,0,1,0,0,1,
WWE Superstars,2009,7+,5.8,,0,1,0,0,1,
Ranger Rob,2016,all,6.2,,0,1,0,0,1,
Psychic Investigators,2006,7+,7.2,,0,1,1,0,1,
Where is Elisa?,2010,,7.3,,0,1,0,0,1,
Home Town,2017,,,,0,1,0,0,1,
