Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,
The Originals,2013,16+,8.2,27%,1,0,0,0,1,
Episodes,2011,18+,7.8,80%,1,0,0,0,1,
Absolutely Fabulous,1992,16+,8.1,96%,1,1,0,0,1,
Living with Yourself,2019,18+,7.2,84%,1,0,0,0,1,
Malcolm in the Middle,2000,7+,8,,1,1,0,0,1,
F is for Family,2015,18+,8,86%,1,0,0,0,1,
The Keepers,2017,16+,8.1,96%,1,0,0,0,1,
Cheer,2020,16+,8.2,96%,1,0,0,0,1,
Disenchantment,2018,16+,7.2,68%,1,0,0,0,1,
Dead Set,2008,18+,7.7,90%,1,0,0,0,1,
Ezel,2009,all,8.6,,1,0,0,0,1,
Nurse Jackie,2009,18+,7.7,81%,1,0,0,0,1,
Case Closed,1996,16+,8.4,,1,1,0,0,1,
Imposters,2017,16+,7.8,100%,1,0,0,0,1,
Queer as Folk,1999,18+,8.2,100%,1,0,1,0,1,
Heartland,2007,7+,8.4,45%,1,0,1,0,1,
The Staircase,2005,16+,7.9,93%,1,0,0,0,1,
Madam Secretary,2014,16+,7.6,68%,1,0,0,0,1,
Chewing Gum,2015,16+,7.7,100%,1,0,0,0,1,
Glee,2009,16+,6.7,71%,1,0,0,0,1,
Fairy Tail,2009,16+,8,,1,1,0,0,1,
The Order,2019,18+,6.9,100%,1,0,0,0,1,
Legacies,2018,16+,7.5,,1,0,0,0,1,
North & South,2004,7+,8.6,,1,0,0,0,1,
Helix,2014,16+,6.8,81%,1,0,0,0,1,
Safe,2018,18+,7.3,77%,1,0,0,0,1,
Evil Genius,2018,18+,7.6,80%,1,0,0,0,1,
Marvel's Iron Fist,2017,18+,6.5,37%,1,0,0,0,1,
Lilyhammer,2012,18+,8,65%,1,0,0,0,1,
Voltron: Legendary Defender,2016,7+,8.1,100%,1,0,0,0,1,
Blue Mountain State,2010,18+,8.3,,1,0,0,0,1,
Pokémon,1997,7+,7.5,,1,1,1,0,1,
Cheers,1982,7+,7.8,,1,1,1,0,1,
Marianne,2019,18+,7.5,93%,1,0,0,0,1,
Star Trek: Enterprise,2001,7+,7.5,50%,1,1,1,0,1,
Portlandia,2011,16+,7.8,94%,1,0,0,0,1,
Better Than Us,2018,,7.4,100%,1,0,0,0,1,
Five Came Back,2017,16+,8.3,97%,1,0,0,0,1,
American Crime,2015,16+,7.8,97%,1,0,0,0,1,
Skins,2007,18+,8.2,,1,0,0,0,1,
Glitch,2015,16+,7.4,80%,1,0,0,0,1,
GHOUL,2018,18+,7.1,83%,1,0,0,0,1,
JoJo's Bizarre Adventure,2012,18+,8.4,,1,1,0,0,1,
The Society,2019,18+,7,85%,1,0,0,0,1,
Code Geass: Lelouch of the Rebellion,2006,18+,8.6,,1,0,0,0,1,
Dracula,2020,18+,6.8,74%,1,0,0,0,1,
Quantico,2015,16+,6.7,82%,1,0,0,0,1,
The Innocence Files,2020,,8,100%,1,0,0,0,1,
Medici: Masters of Florence,2016,7+,7.9,,1,0,0,0,1,
She-Ra and the Princesses of Power,2018,all,7.3,97%,1,0,0,0,1,
Versailles,2015,16+,7.9,66%,1,0,0,0,1,
Rise of Empires: Ottoman,2020,18+,8,,1,0,0,0,1,
The Mechanism,2018,16+,8.4,80%,1,0,0,0,1,
Everything Sucks!,2018,16+,7.5,72%,1,0,0,0,1,
Raising Dion,2019,7+,7.2,82%,1,0,0,0,1,
All American,2018,16+,7.7,96%,1,0,0,0,1,
Fullmetal Alchemist,2003,16+,8.6,,1,0,0,0,1,
The Rain,2018,18+,6.3,82%,1,0,0,0,1,
ERASED,2016,16+,8.5,,1,1,0,0,1,
Nailed It!,2018,7+,7.4,98%,1,0,0,0,1,
Last Tango in Halifax,2012,16+,8.3,98%,1,0,0,0,1,
Star-Crossed,2014,16+,7.3,57%,1,0,0,0,1,
The Politician,2019,16+,7.5,57%,1,0,0,0,1,
Documentary Now!,2015,18+,8.1,94%,1,0,0,0,1,
Baby,2018,18+,6.8,80%,1,0,0,0,1,
Secret City,2016,16+,7.4,100%,1,0,0,0,1,
Abstract: The Art of Design,2017,16+,8.4,100%,1,0,0,0,1,
Shooter,2016,16+,7.5,44%,1,0,0,0,1,
Marcella,2016,18+,7.4,65%,1,0,0,0,1,
The Chef Show,2019,18+,8.2,100%,1,0,0,0,1,
Rurouni Kenshin,1996,16+,8.5,,1,1,1,0,1,
The Seven Deadly Sins,2014,16+,8.1,,1,0,0,0,1,
InuYasha,2000,16+,7.9,,1,1,0,0,1,
Yeh Meri Family,2018,,9.2,,1,0,0,0,1,
The Circle,2020,18+,7.5,80%,1,0,0,0,1,
The Devil Next Door,2019,18+,7.6,91%,1,0,0,0,1,
Flowers,2016,,8.2,100%,1,0,0,0,1,
Descendants of the Sun,2016,16+,8.4,,1,1,1,0,1,
The Hollow,2018,7+,7.2,100%,1,0,0,0,1,
Frontier,2016,18+,7.2,75%,1,0,0,0,1,
Your Lie in April,2014,7+,8.6,,1,1,0,0,1,
Ancient Aliens,2010,7+,7.3,,1,1,1,0,1,
Sword Art Online,2012,16+,7.6,,1,1,0,0,1,
Frequency,2016,7+,7.5,77%,1,0,0,0,1,
Wentworth,2013,18+,8.6,,1,0,0,0,1,
Beauty and the Beast,2012,16+,7,51%,1,0,1,0,1,
